TIME,nose_X,nose_Y,nose_Z,left_eye_X,left_eye_Y,left_eye_Z,right_eye_X,right_eye_Y,right_eye_Z,left_ear_X,left_ear_Y,left_ear_Z,right_ear_X,right_ear_Y,right_ear_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
0.0,-1.4530493,-0.38152763,5.3662586,-1.430916,-0.42751727,5.3339005,-1.4536053,-0.4248068,5.4026756,-1.32943,-0.40383095,5.2588677,-1.1769427,-0.42178595,5.454224,-1.1577129,-0.16727312,5.08245,-1.1198274,-0.15203482,5.521267,-0.9410833,0.026743343,4.839375,-1.1191713,0.15909576,5.6643906,-1.0906302,0.3370031,4.910469,-1.2312841,0.41251573,5.4810715,-1.0384067,0.61192954,5.042889,-0.97616327,0.6446722,5.315886,-1.1521324,1.1978408,4.989951,-0.9276762,1.2634516,5.1463475,-0.5125857,1.5073154,4.96087,-0.7346658,1.86766,4.96696
16.683333333333334,-1.45527,-0.3804176,5.3660307,-1.4329839,-0.42576644,5.3337064,-1.4558828,-0.4236222,5.4022307,-1.3301176,-0.40306765,5.2584667,-1.183881,-0.42265454,5.452654,-1.1549736,-0.16459239,5.083123,-1.127726,-0.15040693,5.5202775,-0.94637233,0.040238522,4.8408394,-1.1221946,0.16880761,5.6645336,-1.0930994,0.3418944,4.9129257,-1.2428292,0.41284522,5.4802065,-1.0382059,0.6129676,5.0426917,-0.9762515,0.6447968,5.315102,-1.1536808,1.1967446,4.9909925,-0.9290815,1.2632933,5.1484523,-0.51561546,1.5028163,4.960238,-0.7346788,1.8672161,4.9669766
33.36666666666667,-1.4544643,-0.38126042,5.3662286,-1.4310262,-0.4264437,5.3338585,-1.4542103,-0.42467666,5.401966,-1.3261164,-0.40336448,5.2582965,-1.1894324,-0.42119563,5.452504,-1.152677,-0.17049015,5.084022,-1.1348628,-0.15146023,5.518768,-0.9422875,0.03333174,4.839186,-1.1510953,0.16441683,5.659358,-1.0895994,0.33810842,4.9127407,-1.2658436,0.41496304,5.4788594,-1.0358368,0.6139438,5.044208,-0.9860994,0.64630914,5.3145304,-1.1522983,1.1947309,4.9907074,-0.93212295,1.2632138,5.1494484,-0.5196779,1.5042107,4.9600673,-0.73297316,1.866777,4.970305
50.05,-1.455303,-0.38090235,5.3644876,-1.4327918,-0.4265646,5.33253,-1.4542991,-0.42434445,5.4011855,-1.3299055,-0.402823,5.2575855,-1.1876048,-0.42152423,5.451674,-1.1488261,-0.17117396,5.0845847,-1.1340171,-0.15321779,5.518084,-0.93861073,0.028491514,4.83842,-1.1747919,0.1692336,5.6546955,-1.0845253,0.33524057,4.9115252,-1.2824515,0.41344553,5.4754415,-1.0333582,0.6151935,5.0424323,-0.98582995,0.6478156,5.314049,-1.15177,1.197155,4.9907293,-0.9307314,1.265896,5.150593,-0.51755476,1.5058253,4.9583993,-0.73350877,1.8720233,4.971105
66.73333333333333,-1.4575418,-0.381051,5.365957,-1.435082,-0.4270084,5.33358,-1.4562029,-0.42492658,5.40258,-1.3329586,-0.40335545,5.258125,-1.1876466,-0.42310748,5.453131,-1.1489377,-0.17081165,5.087509,-1.1361258,-0.15242045,5.5182943,-0.9377252,0.023764485,4.836806,-1.1890309,0.17221779,5.65298,-1.0826362,0.33605862,4.910351,-1.2953186,0.40752175,5.47375,-1.0344535,0.6169998,5.0431495,-0.9835705,0.6495313,5.3150787,-1.152869,1.1976731,4.9907846,-0.9315732,1.2654107,5.150437,-0.51591635,1.506129,4.958612,-0.7310864,1.8805705,4.968323
83.41666666666667,-1.457123,-0.378701,5.367265,-1.4350011,-0.42458054,5.3350005,-1.4570177,-0.4225725,5.403177,-1.3290601,-0.40252084,5.2584357,-1.1897111,-0.4218141,5.4526734,-1.1463666,-0.16680057,5.087839,-1.1380687,-0.14997126,5.519576,-0.9402162,0.031860143,4.838629,-1.2002643,0.17429648,5.6513457,-1.0951855,0.34117627,4.9104075,-1.302658,0.41172644,5.473074,-1.034449,0.61366266,5.0426702,-0.986401,0.6470205,5.313844,-1.1547722,1.1969355,4.9896517,-0.9346341,1.2655916,5.1507382,-0.5191006,1.5061587,4.958244,-0.7309082,1.8851728,4.9649997
100.1,-1.4568843,-0.37662983,5.368812,-1.4352621,-0.42272344,5.3362875,-1.4572874,-0.42077273,5.4042306,-1.3290695,-0.40259323,5.259745,-1.1901077,-0.42141688,5.4542227,-1.1490929,-0.16973889,5.0890174,-1.1381935,-0.15125614,5.5191636,-0.9420166,0.033159588,4.8397193,-1.1842961,0.16857246,5.652231,-1.0933619,0.3442685,4.91072,-1.2807425,0.40813425,5.47431,-1.0380807,0.6106381,5.0435953,-0.98484737,0.64582825,5.31438,-1.1541028,1.1993905,4.989521,-0.92748183,1.2675287,5.1520143,-0.5216393,1.5039394,4.9591036,-0.72936827,1.8924764,4.962689
116.78333333333332,-1.4587988,-0.37236235,5.3702626,-1.4394054,-0.41751522,5.3378215,-1.4594458,-0.41408607,5.4058695,-1.3380649,-0.39802498,5.2607155,-1.1814291,-0.41822547,5.456343,-1.1574595,-0.16852295,5.09017,-1.1335508,-0.1493359,5.518517,-0.941843,0.023787461,4.838995,-1.1942002,0.16643181,5.650212,-1.0912175,0.3367718,4.9112234,-1.2797456,0.40914842,5.4744725,-1.0395849,0.6074446,5.044288,-0.9773344,0.6448674,5.316174,-1.1554435,1.1958553,4.990195,-0.9251881,1.2652633,5.1533704,-0.52724475,1.4984323,4.9621344,-0.7343215,1.885748,4.96485
133.46666666666667,-1.459916,-0.37241083,5.370747,-1.4411113,-0.41778514,5.3389883,-1.4618,-0.41400057,5.4066963,-1.3410391,-0.39882773,5.2623715,-1.1796012,-0.41955537,5.458141,-1.1586027,-0.17200406,5.089248,-1.1344919,-0.15251693,5.5176663,-0.9442998,0.021035489,4.838817,-1.244791,0.16948897,5.6428633,-1.089954,0.33600238,4.9118237,-1.3029283,0.40478367,5.472392,-1.0363129,0.6043352,5.044948,-0.9784152,0.6429971,5.3177204,-1.1556457,1.198302,4.990446,-0.92513144,1.2624727,5.154675,-0.52401805,1.5074232,4.970587,-0.73557496,1.8804624,4.9684296
150.15,-1.459805,-0.3709252,5.37007,-1.4398535,-0.41665572,5.338333,-1.4619039,-0.41208208,5.406904,-1.3383632,-0.39988613,5.2628736,-1.1806418,-0.41868988,5.458568,-1.161706,-0.1759221,5.0900884,-1.133141,-0.15340519,5.517722,-0.94886076,0.014906234,4.8387766,-1.211887,0.16661993,5.6476145,-1.0876365,0.3278416,4.9100976,-1.3017573,0.40573117,5.471639,-1.0366476,0.60175705,5.044547,-0.9769014,0.6413568,5.3158526,-1.1566031,1.1982101,4.990321,-0.92585,1.2609917,5.153544,-0.53002244,1.5042338,4.969848,-0.73544943,1.8814181,4.966789
