TIME,nose_X,nose_Y,left_eye_X,left_eye_Y,right_eye_X,right_eye_Y,left_ear_X,left_ear_Y,right_ear_X,right_ear_Y,left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y,left_hip_X,left_hip_Y,right_hip_X,right_hip_Y,left_knee_X,left_knee_Y,right_knee_X,right_knee_Y,left_ankle_X,left_ankle_Y,right_ankle_X,right_ankle_Y
0.0,599.64813,560.9744,613.8813,547.7032,575.2419,545.9379,629.18536,576.54694,530.6242,579.9642,677.17377,720.1357,454.0694,716.3173,703.44464,885.5634,425.62274,875.54156,702.32904,1029.3342,425.44733,1024.5859,625.66473,1023.66595,496.96667,1018.9639,615.7978,1275.9521,509.029,1279.5327,582.02606,1508.2437,518.9024,1510.1768
16.683333333333334,600.9654,560.29456,614.2641,547.74585,576.1076,545.44226,628.62714,576.7195,530.7248,580.12024,677.6192,720.39856,454.31647,717.20154,702.77704,885.5437,425.1474,875.6448,701.98773,1029.4548,425.4013,1024.5896,625.80145,1023.3646,497.2386,1019.0293,616.1828,1275.0558,509.31732,1278.6343,581.6551,1509.3601,518.23846,1511.137
33.36666666666667,599.607,560.7039,614.10016,547.9709,575.076,545.58014,629.3226,576.63544,530.3106,579.9782,676.821,720.64606,453.85126,716.46747,703.1224,885.0848,426.02686,875.0811,702.20123,1028.7971,425.43695,1024.5557,625.55914,1022.857,496.7063,1018.39056,615.76105,1275.3262,509.13165,1279.697,581.8663,1508.6912,518.3945,1510.7937
50.050000000000004,598.9289,560.1212,613.7087,547.4309,574.3809,545.4415,629.0627,576.4625,529.9604,579.98364,676.7314,721.18066,453.93402,716.79297,702.2365,886.10767,425.62433,875.61035,702.092,1029.2654,425.42834,1024.9153,625.643,1022.63293,496.8316,1018.4772,615.6541,1274.7803,508.87482,1278.7448,581.1237,1511.2866,518.3422,1511.8582
66.73333333333333,598.5658,560.25244,613.7374,547.49915,573.9269,545.36694,629.3976,576.4252,529.2881,579.50037,676.82056,720.8104,453.03815,716.7014,702.77576,885.551,425.77466,875.47864,701.838,1029.1458,426.10742,1024.8333,625.13464,1023.047,496.4228,1018.36206,615.4424,1275.2736,508.7694,1278.9531,581.1439,1511.3668,518.2908,1512.1334
83.41666666666667,599.2826,559.9976,613.83936,547.2674,574.8203,544.78424,628.969,576.0618,529.73303,578.71893,677.15186,719.80304,452.72302,716.60004,702.11206,885.48065,424.68494,876.2199,701.7283,1029.752,425.32263,1025.3442,625.41077,1022.497,496.56494,1018.4537,614.9946,1274.2786,508.64087,1277.6733,580.9043,1511.9956,517.93896,1512.0623
100.10000000000001,598.1075,560.91455,613.3542,547.8207,574.12213,545.7158,629.2143,576.1957,529.52496,579.4429,676.35724,720.84717,452.50433,717.2908,702.3282,885.5819,425.4317,876.37683,701.62726,1029.3405,424.81647,1025.2234,625.01105,1023.0255,496.20618,1018.62695,614.7808,1275.263,508.56207,1278.2212,581.0594,1511.9222,517.7503,1512.0983
116.78333333333333,597.52325,560.3265,613.0059,547.4379,573.22614,545.60944,629.29083,575.976,529.0256,578.85626,676.482,720.773,451.94196,716.84393,701.7222,885.8588,425.86945,876.575,700.77985,1029.9333,425.47736,1025.3188,625.01886,1023.1257,496.24573,1018.9672,614.78253,1274.5901,508.88995,1277.1733,581.1746,1511.7805,517.5107,1511.1565
133.46666666666667,595.2434,561.85706,611.5261,548.0941,571.2864,546.94775,628.7383,576.33716,528.1443,579.22876,675.66797,720.505,452.19006,717.35925,701.9685,886.31946,425.37073,876.7291,700.5442,1030.692,425.05017,1024.745,624.6887,1022.5476,495.87585,1018.3987,614.5349,1274.5713,508.84766,1276.7313,581.05273,1512.0333,517.3335,1510.2675
150.15,596.7425,561.1131,612.2735,547.9296,572.8929,546.1346,628.4571,576.55426,528.15826,578.90765,675.54425,720.42804,451.5346,717.48773,701.29877,886.79376,424.42023,877.4095,700.06256,1031.8271,424.6761,1025.0466,624.5987,1023.2392,495.59418,1018.5782,613.91437,1275.0732,508.62115,1277.3279,581.3536,1511.5977,517.3183,1510.0566
