TIME,nose_X,nose_Y,left_eye_X,left_eye_Y,right_eye_X,right_eye_Y,left_ear_X,left_ear_Y,right_ear_X,right_ear_Y,left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y,left_hip_X,left_hip_Y,right_hip_X,right_hip_Y,left_knee_X,left_knee_Y,right_knee_X,right_knee_Y,left_ankle_X,left_ankle_Y,right_ankle_X,right_ankle_Y
0.0,586.0733,464.5597,609.51385,444.83594,563.8681,443.73804,635.43805,462.7522,524.205,459.74084,669.8223,604.2893,464.83124,596.0492,692.9107,765.50073,425.16498,760.63196,682.53815,889.5613,421.67975,890.3862,614.35114,923.7501,486.95874,924.76733,578.05426,1170.4548,501.11444,1173.485,562.68805,1415.6372,505.5606,1412.5554
16.683333333333334,586.3802,463.79315,609.29816,444.34515,564.1967,443.1253,635.4212,462.69794,524.14813,459.5141,669.4925,603.18365,464.23627,595.72235,692.49445,765.05426,424.55438,759.3514,682.4534,889.50226,421.7083,890.7459,614.11005,923.12115,486.92914,924.43475,578.4869,1171.8469,501.17413,1173.585,562.2325,1416.2324,504.74774,1412.9683
33.36666666666667,587.2616,463.95734,609.68896,444.52032,565.0962,443.16852,635.55273,462.62628,524.1721,459.47894,669.2705,602.34894,463.85376,595.1508,692.829,764.37897,424.4851,759.01447,682.3259,889.82635,421.65625,891.0594,613.8921,922.97943,486.61475,924.3831,578.54297,1172.3396,500.97522,1174.4084,562.04297,1416.8218,504.7583,1413.6973
50.050000000000004,586.2373,463.7121,608.67163,444.49786,564.3541,443.2304,634.6754,462.62347,523.81433,459.4079,668.8795,603.4216,463.75586,595.81464,692.5597,764.2652,424.29315,758.61224,682.4015,889.39923,421.54358,890.50433,613.86975,924.2691,486.8686,925.1434,578.73755,1173.1985,501.18018,1175.6309,562.396,1417.2397,505.8374,1414.9856
66.73333333333333,586.415,462.8147,608.62054,443.86926,564.57733,442.7904,634.8598,462.01562,523.66095,459.1953,668.90204,603.2977,464.05133,595.4491,692.38007,764.37805,424.4301,758.3734,682.3024,888.746,421.17743,890.0515,613.8056,923.6195,486.91913,924.4618,578.69305,1173.2677,501.16168,1175.0615,562.75214,1417.611,505.39813,1415.1129
83.41666666666667,583.4997,462.85522,606.88104,443.64575,561.8808,443.03442,633.5745,461.9242,522.8692,459.4182,668.59064,603.21606,464.05182,594.97205,692.45197,763.7312,424.25995,758.4187,681.89325,888.245,421.11682,890.55396,613.6943,924.23193,487.35712,924.8806,578.8807,1174.1531,500.91357,1176.3442,562.795,1418.5823,505.65778,1415.1702
100.10000000000001,583.3523,463.01807,606.69214,443.96423,561.6655,443.48535,633.2549,462.0172,522.1416,460.2975,668.4314,603.26,464.04846,594.8696,692.07056,764.1487,424.04907,759.4607,681.68677,888.4297,421.26648,891.271,613.5045,923.48364,487.08167,924.1084,578.6975,1172.8077,500.86133,1174.7434,563.22534,1418.3232,505.42957,1415.2849
116.78333333333333,582.074,462.96326,606.1111,442.9475,560.9365,442.713,633.4983,460.3446,522.4646,458.54688,668.1221,603.2798,464.0758,594.2261,691.3596,765.01904,423.37598,759.99146,681.18933,887.8269,421.33057,892.1062,613.0742,925.93054,486.73364,926.7317,578.5625,1174.2456,500.72473,1176.5433,562.6981,1418.5637,505.53015,1415.0813
133.46666666666667,582.2006,463.23987,605.83417,443.34387,561.14886,442.8147,632.9151,460.2566,522.08954,458.37744,667.8453,603.1764,464.0475,594.254,690.8228,764.73425,423.04498,759.84595,681.2624,887.7008,421.6009,892.68835,613.00604,925.81824,486.89868,926.4569,578.6192,1174.4631,500.58954,1176.64,562.47235,1419.048,505.19745,1415.2323
150.15,582.8785,462.41852,605.96027,442.47528,561.27826,442.12665,632.7591,459.3426,521.94464,457.95526,667.88336,602.5881,463.5702,594.6386,690.61993,763.91266,422.5786,760.4091,681.6368,886.65924,421.18982,892.33673,612.98395,926.4146,486.95905,926.7327,578.67596,1174.3821,500.54962,1176.742,562.67194,1419.3691,505.20148,1416.0176
166.83333333333334,583.0709,461.28503,605.8978,441.89734,560.989,441.22974,631.94226,459.3888,521.2899,457.94836,667.546,602.3274,463.42126,594.8273,690.41296,763.22766,421.84875,760.89954,681.4835,886.1581,421.13867,892.5725,612.86975,925.67004,486.83716,926.06775,578.94836,1174.37,500.6084,1176.6243,562.5475,1419.4669,505.06262,1415.8302
183.51666666666668,583.89075,461.77905,606.3032,442.35535,561.7661,441.8263,632.10754,459.6421,521.3356,458.26892,666.5979,601.40796,463.87244,594.4557,689.16943,763.8307,421.70154,759.3401,681.3777,886.7759,420.5318,892.0039,612.67505,925.9176,486.86658,926.2014,578.65173,1174.9088,500.6269,1176.561,562.1439,1418.1108,504.573,1414.2312
200.20000000000002,584.5271,461.63965,606.3384,442.60535,562.4839,441.901,631.5609,459.2251,521.2654,458.338,666.0637,601.14026,463.82367,594.20557,688.3789,763.292,421.69348,758.94495,681.28076,886.9426,420.45044,891.772,612.4905,927.12134,486.81006,927.16235,578.36096,1174.4329,500.27344,1176.5771,561.62244,1418.6887,504.17712,1413.3567
216.88333333333335,583.9939,462.08478,605.78,442.85236,561.98584,442.48077,630.99365,459.1192,520.9529,458.46014,665.8567,601.29803,463.45325,594.07184,688.17456,763.6954,421.51538,759.29193,681.3862,887.16,420.19946,891.274,612.2566,926.80426,486.97064,926.47675,578.30786,1173.7188,500.16992,1176.5396,561.2551,1417.8027,503.78442,1412.1719
233.56666666666666,583.0338,461.68158,605.0781,442.72186,561.03174,442.17316,630.6367,458.82,520.62476,457.6712,665.84644,601.33954,463.87634,593.0523,688.1089,763.8405,421.66394,758.2836,681.4077,887.6347,420.0193,891.024,612.0857,928.18195,486.7343,927.54706,578.00244,1173.5308,499.71362,1177.313,561.301,1417.4824,503.77722,1411.2456
250.25000000000003,582.74915,460.53772,604.40466,441.95007,561.12195,441.25476,629.0758,458.8197,520.43774,457.52747,665.4568,600.9531,463.27795,593.3602,687.6929,763.0952,421.695,758.2097,681.15356,886.79565,419.2978,891.4348,611.57214,926.09204,486.4109,926.2981,577.8368,1173.8569,499.73328,1177.2026,560.5519,1416.4116,503.08118,1410.9321
266.93333333333334,582.557,460.78473,603.9668,442.0064,561.1183,441.29865,628.8341,459.16278,520.25757,458.05402,665.24744,601.25226,462.15186,593.9185,687.5563,762.2371,421.06897,759.62726,680.88745,886.43317,419.23572,891.57855,611.5718,926.2288,486.44226,926.95416,577.152,1172.47,499.64,1176.813,561.2355,1416.3157,503.56995,1411.426
283.6166666666667,582.43884,460.72614,604.006,442.3332,560.5924,441.39264,628.45654,459.07208,519.7135,457.8753,664.7147,600.4205,462.29175,593.7287,687.9735,763.39984,420.00732,760.58636,680.7711,887.2785,419.05847,893.23505,611.17615,926.1558,486.72888,926.4506,576.9541,1172.0422,499.9729,1175.2151,561.4075,1415.1663,503.21448,1411.4626
300.3,581.9655,460.3861,603.46625,441.807,560.4948,440.3551,628.24554,459.04724,519.7695,456.97705,665.1237,601.1776,461.81342,593.63403,687.6257,763.4807,420.1656,760.16077,680.43427,886.9503,419.12616,893.4259,611.0224,926.59314,486.4745,926.91736,576.2216,1171.1947,499.9187,1173.7467,561.99335,1414.2408,503.79242,1410.7748
