TIME,nose_X,nose_Y,left_eye_X,left_eye_Y,right_eye_X,right_eye_Y,left_ear_X,left_ear_Y,right_ear_X,right_ear_Y,left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y,left_hip_X,left_hip_Y,right_hip_X,right_hip_Y,left_knee_X,left_knee_Y,right_knee_X,right_knee_Y,left_ankle_X,left_ankle_Y,right_ankle_X,right_ankle_Y
0.0,566.66724,961.88324,575.3611,953.3532,557.44495,953.4384,588.06604,959.5113,542.25073,958.7309,606.30383,1010.217,513.93616,1007.47394,621.0065,1073.645,490.74246,1067.5514,594.5206,1104.3287,518.10986,1104.0248,585.0869,1112.4161,530.3717,1112.7123,586.52246,1145.9595,531.6427,1145.6124,581.05505,1245.2393,527.7001,1243.9154
16.683333333333334,566.74677,961.84033,575.6056,953.1896,557.4257,953.30273,587.9798,959.1421,542.3408,958.71204,606.3924,1010.1809,514.09753,1007.4155,620.909,1074.0939,490.65057,1067.7136,594.0491,1104.7688,517.9658,1104.0624,585.1651,1112.6498,531.1972,1112.8976,586.23914,1145.723,531.55676,1146.444,581.2964,1245.4081,527.8701,1244.0848
33.36666666666667,566.3476,961.6078,575.365,952.97754,557.1876,953.0482,587.9136,958.9839,542.2417,958.6404,606.41406,1010.1328,514.06824,1007.265,620.9727,1073.5309,490.6754,1067.5747,594.10425,1104.7614,517.93616,1103.859,585.0846,1112.5466,530.9901,1112.7341,586.2935,1145.9679,531.4537,1146.4733,581.2041,1245.1703,527.922,1243.8341
50.050000000000004,566.24365,961.59753,575.28735,952.9155,557.0675,953.0653,588.0298,958.8611,542.26416,958.6792,606.3303,1009.9762,513.8839,1007.3069,620.81555,1073.7118,490.54764,1067.6147,593.9845,1104.6996,518.0989,1103.8162,585.08594,1112.5901,530.67834,1112.7994,586.3804,1145.6543,531.2826,1146.4137,581.244,1245.5541,527.8739,1243.9714
66.73333333333333,566.1643,961.40985,575.1376,952.83636,556.9718,952.91376,587.9197,958.99384,542.0896,958.6586,606.2241,1009.9454,513.8434,1007.32416,620.7461,1073.5698,490.46487,1067.596,593.94507,1104.8086,517.77625,1103.6599,584.9957,1112.5603,530.5353,1112.6514,586.4094,1145.531,531.1251,1146.5569,581.0941,1245.196,527.82104,1243.8757
83.41666666666667,565.68854,961.67236,574.7943,953.0194,556.56647,953.1041,587.8851,958.83606,541.9929,958.6139,606.35114,1010.2229,513.9227,1007.3424,620.65826,1073.6415,490.36932,1067.5898,593.7291,1104.8539,518.0016,1103.7509,584.98175,1113.1783,530.5089,1112.9607,586.5291,1145.5126,531.2197,1146.5896,581.0856,1245.1447,527.8114,1243.6216
100.10000000000001,565.72546,962.22345,574.8716,953.4395,556.6389,953.4222,587.9437,959.263,541.9862,958.71027,606.34216,1010.09064,513.9514,1007.44147,620.939,1073.4401,490.4292,1067.7924,593.98456,1104.9806,518.16754,1103.879,584.9772,1113.3721,530.27325,1112.9607,586.4419,1145.8077,531.3476,1146.073,581.2716,1245.2378,527.81903,1243.6439
116.78333333333333,565.6919,962.71735,574.8285,953.81366,556.5772,953.6297,587.8126,959.4356,541.9072,958.84735,606.38617,1010.2684,513.87085,1007.6552,621.00934,1073.6191,490.4475,1068.2405,593.97266,1104.9453,518.55975,1104.3516,585.14716,1113.3721,530.0743,1113.0212,586.7188,1145.783,531.60065,1146.0857,581.2599,1245.1975,527.8741,1243.9165
133.46666666666667,565.60205,962.79376,574.7374,953.898,556.5228,953.7066,587.8065,959.58514,541.851,959.0445,606.4903,1010.33514,513.88715,1007.7431,621.1782,1073.4526,490.35986,1068.3542,593.9592,1105.0691,518.7071,1104.2815,585.29535,1113.561,530.20105,1113.1553,586.58716,1145.5417,531.4977,1145.9587,581.25415,1245.3091,527.915,1243.9893
150.15,565.53815,963.29565,574.84326,954.235,556.3688,954.0768,587.923,959.3213,541.97,959.03625,606.3368,1010.2401,513.8921,1007.725,621.1347,1073.8394,490.2204,1068.3583,593.9248,1105.155,518.4547,1103.735,585.2224,1113.4612,530.2481,1113.0405,586.4719,1145.4565,531.5284,1146.1464,581.2187,1245.0889,527.8469,1243.6581
