TIME,nose_X,nose_Y,nose_Z,left_eye_X,left_eye_Y,left_eye_Z,right_eye_X,right_eye_Y,right_eye_Z,left_ear_X,left_ear_Y,left_ear_Z,right_ear_X,right_ear_Y,right_ear_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
0.0,-1.3571054,-0.4590818,5.2243166,-1.3122733,-0.50530887,5.1855183,-1.356048,-0.50211763,5.261585,-1.1743048,-0.475314,5.127723,-1.1002072,-0.4800358,5.3229165,-1.1089801,-0.18412553,4.987094,-1.078657,-0.18628572,5.399856,-1.1000004,0.2493898,4.877063,-1.0479853,0.2860738,5.4363565,-1.126348,0.6008074,4.836063,-1.2067556,0.60811985,5.380318,-1.0523711,0.57161784,4.989757,-1.0124898,0.6029561,5.2434077,-0.8923026,1.2198907,4.8929815,-0.90979505,1.247947,5.100503,-0.7059397,1.8613971,4.821466,-0.7123547,1.8521267,4.9570494
16.683333333333334,-1.3595551,-0.46030718,5.2242155,-1.3155788,-0.50682217,5.185367,-1.3553057,-0.50453043,5.2614465,-1.1808909,-0.47341463,5.1288214,-1.0976171,-0.4769753,5.323994,-1.1119133,-0.18365067,4.986698,-1.0750042,-0.18407372,5.400602,-1.1084658,0.2523322,4.8783665,-1.0711433,0.28410244,5.4337716,-1.1287639,0.602193,4.837037,-1.2055824,0.61486727,5.3795986,-1.052392,0.57605696,4.9891086,-1.0078897,0.60633445,5.2428393,-0.8920362,1.2210219,4.8923173,-0.9066554,1.2503383,5.100338,-0.70751613,1.8636069,4.8214417,-0.71263766,1.8530366,4.9570045
33.36666666666667,-1.3634741,-0.45647871,5.225762,-1.3207397,-0.5039012,5.186954,-1.3603449,-0.5004326,5.262718,-1.1859494,-0.47286105,5.129375,-1.0988785,-0.47454622,5.3243785,-1.1137847,-0.18218905,4.9869957,-1.0674716,-0.18341888,5.4007864,-1.1088011,0.25136718,4.8782477,-0.98336107,0.2934505,5.4418716,-1.1268158,0.6018487,4.836209,-1.1855378,0.6106196,5.381091,-1.0548385,0.57373875,4.9901524,-1.0038953,0.6048028,5.2431703,-0.8898602,1.2231094,4.8921313,-0.90339255,1.2524906,5.0997195,-0.70731866,1.863828,4.8217516,-0.71269333,1.8558958,4.9557176
50.05,-1.3635315,-0.4557152,5.224799,-1.3204757,-0.502866,5.1866527,-1.3601779,-0.4998484,5.2617016,-1.1850414,-0.47292525,5.129271,-1.0991027,-0.47407734,5.323901,-1.1135694,-0.18201241,4.986734,-1.070084,-0.18263826,5.401617,-1.1065484,0.252304,4.878077,-0.9883846,0.29405332,5.442608,-1.126522,0.6026259,4.836278,-1.1874737,0.6156355,5.3811193,-1.0550603,0.57258236,4.9904404,-1.0054781,0.6049012,5.243672,-0.8901418,1.2217754,4.892069,-0.9040397,1.2513139,5.0994453,-0.70680016,1.8636649,4.8223743,-0.71205217,1.8562375,4.9553194
66.73333333333333,-1.3627754,-0.45673814,5.2259727,-1.3200941,-0.5032999,5.187893,-1.3599645,-0.4999688,5.262176,-1.1869775,-0.47354433,5.1293545,-1.0943072,-0.47546408,5.3238797,-1.1152282,-0.18105063,4.9870434,-1.0702093,-0.18317129,5.401147,-1.1075923,0.25200164,4.8780384,-0.99131536,0.29324338,5.4414797,-1.1265618,0.60363495,4.8359942,-1.1827501,0.6173472,5.3807173,-1.0551127,0.5722717,4.991248,-1.0048085,0.6032408,5.2447057,-0.88867265,1.2235291,4.891911,-0.9038289,1.2517309,5.098994,-0.7048911,1.8634206,4.8217406,-0.7120167,1.8554242,4.956034
83.41666666666667,-1.3635798,-0.4563552,5.22742,-1.3208972,-0.50276506,5.1898766,-1.3610141,-0.4992732,5.2634954,-1.1876315,-0.4732564,5.1294365,-1.0943424,-0.47508323,5.323864,-1.1155376,-0.18106958,4.9858847,-1.0710295,-0.18282723,5.40102,-1.1098418,0.25463545,4.8789387,-1.0586847,0.28742182,5.4340506,-1.1282568,0.60396963,4.8358793,-1.1995418,0.6157719,5.379196,-1.0537293,0.57192665,4.9899364,-1.002999,0.6041346,5.2447157,-0.88642025,1.2249383,4.891771,-0.9020749,1.251769,5.098442,-0.70508647,1.8623582,4.822485,-0.7106277,1.8521408,4.9563193
100.1,-1.3650091,-0.45678386,5.2274337,-1.3214359,-0.5032228,5.189888,-1.3633945,-0.49943525,5.263592,-1.1845651,-0.4748016,5.129053,-1.0967269,-0.4770604,5.323127,-1.1135184,-0.1830213,4.985744,-1.0722187,-0.18476763,5.4009037,-1.1007257,0.2503688,4.877685,-1.0140305,0.28888822,5.4385242,-1.1259762,0.6029185,4.835194,-1.1912305,0.61630005,5.379726,-1.0550282,0.57256246,4.9896884,-1.0057805,0.6033722,5.2444863,-0.8895742,1.2216464,4.892419,-0.9025909,1.2498369,5.0985937,-0.70637405,1.8644359,4.8219757,-0.71137685,1.8543361,4.9559093
116.78333333333332,-1.3642853,-0.4544661,5.229993,-1.320782,-0.50193477,5.1920114,-1.3641342,-0.49780142,5.2657824,-1.1836962,-0.47525546,5.1294312,-1.0958116,-0.4768133,5.3235836,-1.1148068,-0.18312429,4.9855084,-1.0676019,-0.18408555,5.4010324,-1.1043922,0.2504371,4.878169,-0.9901051,0.29012352,5.4401283,-1.1268408,0.6029283,4.8355937,-1.1514611,0.6184054,5.3826127,-1.0559471,0.5752717,4.989224,-1.0030597,0.60555524,5.243616,-0.89134747,1.2207267,4.892457,-0.9013356,1.2485543,5.0978804,-0.70906603,1.866099,4.821031,-0.71090955,1.8509133,4.9553757
133.46666666666667,-1.3645755,-0.452722,5.2307663,-1.3211823,-0.5007411,5.192678,-1.3636638,-0.49667898,5.2665715,-1.1849445,-0.47478402,5.129752,-1.0956074,-0.4758528,5.324413,-1.1157718,-0.18202613,4.986031,-1.0718471,-0.18326734,5.400344,-1.1161324,0.25568888,4.8794546,-1.0669117,0.28329274,5.433537,-1.12945,0.6033481,4.835495,-1.195368,0.61528146,5.3787975,-1.053198,0.5718079,4.9892073,-1.004086,0.6042122,5.244321,-0.8912816,1.2204092,4.8926516,-0.9050646,1.2483615,5.098151,-0.70510316,1.8625818,4.8214474,-0.71100676,1.8510692,4.9548554
150.15,-1.3647245,-0.45334485,5.2305465,-1.3211596,-0.5008265,5.1925483,-1.3643217,-0.49657297,5.266439,-1.1827114,-0.47472724,5.129593,-1.0971711,-0.47532403,5.324569,-1.1150174,-0.18182293,4.9862995,-1.0703857,-0.18259032,5.4009657,-1.1108118,0.25316998,4.878655,-1.0801271,0.28204408,5.4311514,-1.1279707,0.60287684,4.835242,-1.1885113,0.6177328,5.3801994,-1.0531625,0.5700572,4.986967,-1.0012413,0.60333437,5.2438416,-0.88459104,1.2284184,4.890518,-0.90082943,1.2551377,5.097601,-0.7056128,1.8659058,4.8207235,-0.7124339,1.8546689,4.9558215
