TIME,nose_X,nose_Y,nose_Z,left_eye_X,left_eye_Y,left_eye_Z,right_eye_X,right_eye_Y,right_eye_Z,left_ear_X,left_ear_Y,left_ear_Z,right_ear_X,right_ear_Y,right_ear_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
0.0,-1.2710818,-0.4607982,5.2081394,-1.2392906,-0.50766337,5.1730456,-1.2684523,-0.5084576,5.247805,-1.1236519,-0.47660622,5.1161876,-1.0341104,-0.4850722,5.313738,-1.0375236,-0.18115,4.9781256,-1.0065585,-0.18815304,5.3928165,-1.0653527,0.24086691,4.855405,-1.1715301,0.27642065,5.420314,-1.1011875,0.5939257,4.8093257,-1.2300241,0.6356649,5.375002,-1.0086902,0.5614854,4.963745,-1.0096846,0.58766836,5.230202,-0.88444316,1.215218,4.8868933,-0.91278356,1.2401577,5.096508,-0.70789057,1.8518411,4.828914,-0.71753323,1.8334491,4.967247
16.683333333333334,-1.2691847,-0.46558347,5.207511,-1.2373796,-0.5108652,5.172549,-1.265706,-0.5128714,5.247407,-1.1257876,-0.47548565,5.11619,-1.0276598,-0.48469004,5.3141174,-1.0400997,-0.18025187,4.978633,-1.0064582,-0.1879992,5.3930264,-1.0679617,0.24191014,4.8560305,-1.1753137,0.27554074,5.420635,-1.1019034,0.5949369,4.8094883,-1.2316327,0.6338493,5.37525,-1.0089337,0.5644599,4.963293,-1.0106617,0.5907777,5.230038,-0.8833066,1.2166371,4.887009,-0.91241205,1.2422992,5.0967727,-0.7069617,1.8557419,4.8280816,-0.7172125,1.8389233,4.966844
33.36666666666667,-1.2679648,-0.46420586,5.207317,-1.2357215,-0.51020825,5.1719594,-1.2651674,-0.51220673,5.247223,-1.1228191,-0.47638714,5.115844,-1.0302855,-0.48558244,5.3135533,-1.0397909,-0.1800862,4.977988,-1.0079174,-0.18801436,5.3926196,-1.0639448,0.23994865,4.856197,-1.184814,0.27653745,5.4205,-1.1017749,0.59476435,4.809483,-1.2348926,0.6344663,5.374609,-1.0076343,0.5643832,4.9632874,-1.0139849,0.5907047,5.229799,-0.8840535,1.2168218,4.88704,-0.9138017,1.2427794,5.0966,-0.7074796,1.8550082,4.827868,-0.7174267,1.8384055,4.9673347
50.05,-1.2684258,-0.46222773,5.207116,-1.2351564,-0.5092106,5.1719503,-1.2664163,-0.5105178,5.247513,-1.1184087,-0.4774774,5.115525,-1.0348862,-0.48586628,5.313066,-1.0366213,-0.1800461,4.977571,-1.014259,-0.18804844,5.392025,-1.061967,0.23966515,4.8562007,-1.2149588,0.276301,5.4183197,-1.1020737,0.59405553,4.8094254,-1.2393618,0.6353893,5.37414,-1.0062546,0.5627698,4.962634,-1.0216953,0.5899512,5.229705,-0.8850268,1.2154374,4.8867664,-0.91559327,1.2413783,5.096353,-0.7074618,1.856292,4.828051,-0.7161153,1.8425443,4.9663305
66.73333333333333,-1.2663281,-0.46407607,5.207965,-1.2322185,-0.5103627,5.1726785,-1.2647702,-0.5121068,5.248334,-1.1149119,-0.47843343,5.115696,-1.0347486,-0.48745635,5.3123617,-1.0350242,-0.18177527,4.9769564,-1.0181992,-0.1899259,5.3913355,-1.0617552,0.2385479,4.856721,-1.21468,0.2737293,5.417357,-1.101585,0.59396607,4.809904,-1.2387987,0.6332946,5.374581,-1.004902,0.5628321,4.963642,-1.0240862,0.5893563,5.229956,-0.8847792,1.2154524,4.8872185,-0.91754615,1.240308,5.097924,-0.70817184,1.8576461,4.828692,-0.71628624,1.8402871,4.967405
83.41666666666667,-1.2660303,-0.46390948,5.2094173,-1.2321459,-0.510568,5.1739717,-1.2645686,-0.5118329,5.2497034,-1.1149347,-0.47894683,5.1163235,-1.0353599,-0.48666447,5.312573,-1.0356312,-0.18136685,4.9773035,-1.0227656,-0.1878996,5.3912354,-1.0625128,0.23785983,4.856661,-1.2196085,0.27674946,5.4175167,-1.0995615,0.59433043,4.8095756,-1.2382227,0.63411224,5.374929,-1.0032364,0.5611758,4.9639754,-1.0252687,0.58896565,5.231066,-0.8849687,1.215095,4.8877654,-0.9202802,1.2380291,5.09869,-0.7080493,1.859926,4.8285947,-0.7162234,1.8399416,4.9677596
100.1,-1.2656705,-0.46522623,5.2096853,-1.230276,-0.5116001,5.174071,-1.2633561,-0.51324934,5.2501082,-1.1145636,-0.47828463,5.1162677,-1.0401922,-0.48584974,5.3123083,-1.035224,-0.18222153,4.977873,-1.0347223,-0.1865946,5.3910117,-1.064871,0.2376746,4.8572817,-1.2282138,0.27777234,5.4169097,-1.0986097,0.59426296,4.8104095,-1.2420219,0.6325735,5.374954,-1.0001599,0.5606937,4.9639354,-1.0322381,0.58962274,5.2312636,-0.88488823,1.2159134,4.8875628,-0.9232698,1.2399899,5.0988693,-0.7069329,1.8621757,4.8280277,-0.71406853,1.8417858,4.967612
116.78333333333332,-1.265002,-0.46763474,5.2073855,-1.2299937,-0.51308995,5.172328,-1.2621031,-0.51474816,5.2482033,-1.1167291,-0.4777328,5.1161532,-1.0312302,-0.48530453,5.3136063,-1.0368221,-0.18062294,4.9758205,-1.0200602,-0.18807185,5.393217,-1.0655571,0.24162537,4.8565717,-1.2167028,0.27836543,5.4183207,-1.1002533,0.5951386,4.80969,-1.2414411,0.6299056,5.375595,-1.0028608,0.5626982,4.9641795,-1.0188632,0.58969915,5.2317424,-0.88959897,1.2105025,4.888045,-0.92314136,1.2355766,5.101231,-0.7081165,1.8577636,4.828558,-0.7150233,1.8383919,4.9679093
133.46666666666667,-1.2635852,-0.46896634,5.206896,-1.2295654,-0.51471704,5.1721587,-1.2599471,-0.5160851,5.2478023,-1.1201986,-0.47730634,5.1160135,-1.0272334,-0.48495266,5.313905,-1.0373298,-0.18051997,4.9753757,-1.0176244,-0.1893312,5.393006,-1.0681565,0.24211685,4.856978,-1.204774,0.27834764,5.4195914,-1.1004506,0.5949566,4.809665,-1.2415086,0.6327679,5.3760796,-1.0027239,0.56195176,4.964423,-1.0142845,0.5877601,5.232499,-0.8892066,1.2108723,4.88699,-0.9231277,1.236594,5.1014886,-0.7080116,1.8588194,4.828254,-0.71613127,1.8369778,4.9688067
150.15,-1.2627925,-0.4686819,5.207769,-1.2286323,-0.51394176,5.1727724,-1.2597281,-0.5155454,5.2485256,-1.116254,-0.4772043,5.116698,-1.0316166,-0.48283494,5.3145356,-1.036358,-0.18222168,4.976799,-1.0235296,-0.18759748,5.3923,-1.0643538,0.24277173,4.856662,-1.2387356,0.28023848,5.4169044,-1.1025245,0.5968483,4.809623,-1.2496705,0.63158417,5.375406,-1.0008082,0.56307966,4.963982,-1.0205009,0.5912481,5.232006,-0.8878287,1.212688,4.886083,-0.9215799,1.2381338,5.101308,-0.7077924,1.8592099,4.827771,-0.71650946,1.8401833,4.967158
