TIME,nose_X,nose_Y,left_eye_X,left_eye_Y,right_eye_X,right_eye_Y,left_ear_X,left_ear_Y,right_ear_X,right_ear_Y,left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y,left_hip_X,left_hip_Y,right_hip_X,right_hip_Y,left_knee_X,left_knee_Y,right_knee_X,right_knee_Y,left_ankle_X,left_ankle_Y,right_ankle_X,right_ankle_Y
0.0,391.7403,480.1565,400.35468,453.82495,387.82166,458.87207,459.33972,443.4851,449.1767,444.56775,524.2398,552.13135,497.90216,559.84155,526.0527,728.44824,479.90472,736.255,461.6789,879.72144,451.62073,881.5769,525.29926,892.10986,512.0351,892.32043,510.75433,1159.604,509.64655,1153.4556,541.4943,1409.2117,548.4681,1382.7263
16.683333333333334,391.06287,480.39252,399.91937,454.2083,387.38037,459.00214,459.3026,444.38116,448.12366,445.70795,523.5741,552.4821,497.68665,560.0069,527.2057,729.1414,480.5036,736.9819,462.4469,879.5876,452.40002,882.4849,525.73096,894.48724,513.016,894.19745,511.29468,1159.2644,509.49304,1153.0647,541.9475,1408.7019,546.8236,1385.4792
33.36666666666667,391.2301,480.1634,400.22675,454.24933,387.3346,458.88055,459.25824,445.20258,444.5556,447.42267,525.2188,553.5262,496.62317,560.43744,524.8143,727.24554,480.5905,735.9653,460.17078,879.7641,452.82233,882.88226,526.4754,895.8212,511.79608,894.19354,510.76666,1157.8806,509.2602,1153.4409,541.88214,1406.6746,545.6868,1388.4126
50.050000000000004,392.4945,479.68286,402.17786,453.75623,387.85815,458.47925,460.6355,444.31104,443.11792,447.34277,525.50415,553.3176,497.03107,559.3983,523.7572,728.06836,480.96313,735.6775,459.547,880.7129,451.9983,883.073,526.6763,894.23035,511.88293,892.82275,510.60876,1157.724,508.60388,1153.1375,542.6167,1407.138,545.93164,1388.0278
66.73333333333333,392.27924,479.88318,401.16913,454.2102,388.02814,458.72998,460.32562,444.21265,445.95746,446.72375,524.6689,552.85803,496.79218,559.93835,526.1882,726.65027,481.2102,736.2645,460.09137,879.6815,451.9807,882.4199,527.08014,893.2195,511.71185,891.6515,510.1878,1157.4215,508.84027,1153.03,542.63727,1407.2953,545.3421,1388.1024
83.41666666666667,393.0188,479.24908,402.06604,453.43365,388.50427,457.81903,460.02502,444.4178,444.7793,447.4073,524.1858,553.6716,498.65424,559.4693,523.8318,729.57355,482.87073,736.97076,460.325,881.9234,453.2329,884.18243,526.25854,895.25397,512.7031,893.2056,510.03833,1156.3508,511.15747,1152.3652,542.329,1406.8267,545.0702,1387.0076
100.10000000000001,392.5871,478.83276,402.07288,452.94385,388.52692,457.22656,460.3775,444.8402,445.00848,447.63806,525.47455,554.0768,499.01288,560.03503,523.7292,731.0665,481.89374,737.5183,461.18927,881.7728,452.98553,883.74365,526.07,894.42346,513.4106,892.42334,509.40668,1155.3643,513.58734,1152.0258,542.35297,1407.6602,545.72406,1388.8777
116.78333333333333,393.4572,479.7602,401.55902,453.7928,389.3191,458.39972,459.8885,444.68146,447.00446,447.351,524.1783,553.21954,499.3006,560.23615,527.6882,729.59454,481.78113,737.91864,463.9143,879.6796,453.25543,880.6136,525.0004,894.5407,512.9693,892.851,510.0136,1155.2549,511.93793,1151.4363,542.3132,1408.9006,547.2885,1388.1523
133.46666666666667,393.29327,478.55328,401.98444,452.94098,388.97748,457.30475,460.25787,443.91498,445.9486,447.05206,524.3886,552.5578,499.63623,559.2719,528.5263,729.0518,483.2586,736.99274,464.0699,879.0699,453.68286,879.5357,525.3437,895.91583,514.3764,894.02985,507.90692,1152.7822,513.94293,1150.5298,542.59247,1408.7866,546.7868,1389.0239
150.15,395.11145,479.5288,403.8932,453.69263,390.11157,458.30432,461.13074,444.32776,444.34253,447.99194,524.8822,553.0359,499.9917,558.98816,529.2289,729.59155,482.1703,735.90076,464.19275,879.3119,453.74646,879.1267,525.39636,895.69446,514.2411,893.6327,508.04395,1152.8229,514.59265,1150.6766,542.828,1408.1412,546.8168,1388.4811
